NBACC13;EXPLEVT;AUTRE_REACTION;AUTRE_USAGER;REACTION_AUTRE_USAGER;AGGRAVATION;BIEN_EQUIPE;ALLURE;SITUATIONPRESSE;SITUATIONDISTRAIT;SITUATIONCONFIANT;SITUATIONCONTROLE;SITUATIONLUDIQUE;SITUATIONPERF;SITUATIONSTRESS;SITUATIONFATIGUE;HUMEURNEUTRE;HUMEURGAI;HUMEURMECONTENT;HUMEURTRISTE;HUMEURCOLERE;ROLEINFRA;ALCOOL;STUP;SEMAINE;MOMENTJOURNEE;TEMPS;CAUSE_ACC1;CAUSE_ACC2;CAUSE_ACC3;CAUSE_ACC4;CAUSE_ACC5;FORMATION_CAUSE;TRAFIC;CHAUSSEE1;TYPEACC;TRAJET;TYPEROUTE;PASSAGER;VITESSE;EQ2RMABS;EQ2RMCBS;POINTS;DUREE;NBINCI11;ABS_REACTION;MEDICAMENTS;TYPE_ROUTE;MOTIF;ACC/INC
1;Vous circuliez derrière un véhicule. Ce véhicule a freiné ou a ralenti et vous lavez percuté par larrière.;1;1;2;2;3;1;1;3;3;3;3;1;1;1;1;1;4;4;4;2;2;2;1;1;1;100;0;0;0;0;2;3;1;2;2;1;0;55;1;1;12;1;;;;1;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;Vous circuliez derrière un véhicule. Ce véhicule a ralenti. Vous avez entrepris de dépasser ce véhicule par la gauche et celui-ci vous a coupé la route en tournant à gauche (ou en effectuant un œ tour;0;0;;;4;3;1;1;3;4;1;1;1;1;1;4;4;4;4;2;2;2;1;1;1;10;90;0;0;0;2;2;1;2;1;1;0;50;1;1;NSP;3;;;;1;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;Autre(s) type(s) d'accident(s).;0;0;;;4;3;1;1;2;4;1;1;1;1;4;3;4;4;4;1;2;2;2;1;1;0;0;80;20;0;2;1;2;2;2;2;0;70;1;1;12;3;;;;2;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;Vous circuliez derrière un véhicule. Ce véhicule a freiné ou a ralenti et vous lavez percuté par larrière.;1;0;;;1;1;2;4;3;3;2;1;4;3;1;4;4;3;4;1;2;2;2;1;1;75;0;0;25;0;2;3;1;1;3;2;0;70;0;0;10;3;;;;2;;accident
1;Vous circuliez sur un axe prioritaire. Un véhicule venant dun axe non prioritaire vous a coupé la route.;1;1;2;1;4;3;3;3;3;3;1;1;2;4;4;4;4;4;4;2;2;2;1;2;1;10;90;0;0;0;1;4;1;2;1;1;0;20;0;1;12;4;;;;1;;accident
1;Vous circuliez derrière un véhicule. Vous avez entrepris de dépasser ce véhicule par la droite et celui-ci vous a coupé la route en tournant à droite.;1;1;2;NSP;3;3;1;1;3;3;3;1;1;1;3;4;4;4;4;2;2;2;1;1;1;0;100;0;0;0;2;2;1;1;1;1;0;10;1;1;12;3;;;;1;;accident
3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
2;"Vous circuliez sur un axe constitué dau moins "" 2 X 2 voies "" (en urbain, périphérique, autoroute, RN ). Un véhicule vous a coupé la route en changeant de voie pour se placer sur celle de droite.";1;1;NSP;1;4;3;1;1;2;4;1;1;1;1;3;3;4;4;4;1;2;2;1;1;1;0;100;0;0;0;1;2;1;1;1;4;0;50;0;0;10;4;;;;4;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;"Vous circuliez sur un axe constitué dau moins "" 2 X 2 voies "" (en urbain, périphérique, autoroute, RN ). Un véhicule vous a coupé la route en changeant de voie pour se placer sur celle de droite.";0;1;2;1;3;3;2;3;3;3;1;1;2;1;3;4;4;4;4;2;2;2;1;1;1;0;100;0;0;0;1;4;1;2;2;3;0;30;1;1;12;2;;;;3;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;Vous circuliez derrière un véhicule. Ce véhicule a ralenti. Vous avez entrepris de dépasser ce véhicule par la gauche et celui-ci vous a coupé la route en tournant à gauche (ou en effectuant un œ tour;0;1;2;1;3;3;2;2;4;4;2;1;1;2;1;4;4;4;4;2;2;2;2;1;1;10;90;0;0;0;2;2;1;2;3;2;1;100;1;1;12;4;;;;2;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
2;Vous circuliez sur un axe prioritaire. Un autre véhicule arrivant sur le même axe en sens opposé vous a coupé la route en tournant à gauche.;0;1;2;1;3;3;2;1;3;4;3;1;1;1;5;5;5;5;5;2;2;2;1;1;2;0;100;0;0;0;NSP;3;2;2;1;1;0;50;1;1;NSP;3;;;;1;;accident
1;Vous circuliez derrière un véhicule. Ce véhicule a freiné ou a ralenti et vous lavez percuté par larrière.;0;0;;;1;1;1;1;4;4;1;1;1;1;1;4;4;4;4;2;2;2;1;1;1;100;0;0;0;0;2;2;1;2;1;1;0;90;1;1;NSP;4;;;;1;;accident
1;Autre(s) type(s) d'accident(s).;1;0;;;4;3;1;4;4;3;4;1;1;1;3;3;4;4;4;2;2;2;2;1;1;5;95;0;0;0;2;4;1;2;2;1;0;30;1;1;12;4;;;;1;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;Vous circuliez sur un axe prioritaire. Un autre véhicule arrivant sur le même axe en sens opposé vous a coupé la route en tournant à gauche.;1;1;2;1;2;3;2;2;4;4;1;1;1;2;1;3;4;4;4;1;2;2;1;3;2;15;85;0;0;0;1;2;2;2;1;1;0;50;1;1;0;4;;;;1;;accident
1;Vous circuliez derrière un véhicule. Ce véhicule a freiné ou a ralenti et vous lavez percuté par larrière.;1;1;2;2;4;3;2;1;4;3;NSP;NSP;1;1;3;4;4;4;4;2;2;2;2;1;1;100;0;0;0;0;2;AUT|Circulation très ralentie;1;1;3;AUT|route de campagne/montagne;0;30;1;1;12;3;;;;AUT|route de campagne/montagne;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;Vous circuliez sur un axe prioritaire. Un véhicule venant dun axe non prioritaire vous a coupé la route.;0;1;NSP;NSP;4;3;1;1;3;4;3;1;1;1;3;4;4;4;4;1;2;2;1;1;1;0;80;0;20;0;NSP;2;1;1;2;1;0;35;1;1;12;4;;;;1;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;Vous circuliez derrière un véhicule. Ce véhicule a freiné ou a ralenti et vous lavez percuté par larrière.;1;1;2;NSP;3;3;2;3;4;3;1;1;1;1;1;4;4;4;4;2;2;2;1;1;1;90;10;0;0;0;1;3;1;2;1;4;0;20;1;1;12;1;;;;4;;accident
1;Vous circuliez derrière un véhicule. Ce véhicule a freiné ou a ralenti et vous lavez percuté par larrière.;0;1;2;2;4;3;1;4;3;4;1;1;1;2;1;4;4;4;4;2;2;2;2;1;1;100;0;0;0;0;2;2;1;1;2;1;0;40;0;0;12;4;;;;1;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;Vous circuliez sur un axe prioritaire. Un autre véhicule arrivant sur le même axe en sens opposé vous a coupé la route en tournant à gauche.;0;1;2;NSP;3;3;2;2;4;4;1;1;2;2;3;4;4;4;4;2;2;2;2;2;1;0;100;0;0;0;2;1;1;2;1;1;1;60;1;1;NSP;1;;;;1;;accident
1;Alors que vous étiez en train de rouler, un piéton a traversé devant vous.;0;;;;;;4;4;1;1;1;1;1;4;4;4;4;4;5;;;;1;1;1;10;90;0;0;0;;1;;;50;1;4;7;1;1;;;;;;1;;accident
1;Vous circuliez derrière un véhicule. Ce véhicule a freiné ou a ralenti et vous lavez percuté par larrière.;1;1;2;1;3;3;1;1;3;4;NSP;1;1;1;1;4;4;4;4;2;2;2;1;1;1;15;85;0;0;0;2;2;1;1;3;1;0;43;1;1;12;2;;;;1;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;Vous avez fait une sortie de route, une perte de contrôle ou une glissade sans rien percuter.;0;0;;;2;3;3;1;3;4;1;1;1;1;1;4;4;4;4;1;2;2;1;3;2;25;0;0;50;25;NSP;1;2;1;1;2;0;80;1;1;12;4;;;;2;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;Vous circuliez derrière un véhicule. Ce véhicule a freiné ou a ralenti et vous lavez percuté par larrière.;1;1;2;1;4;3;1;1;2;4;1;1;2;1;1;4;4;4;4;2;2;2;1;1;2;0;50;0;0;50;2;3;AUT|verglas d'été en formation;1;1;1;0;30;0;0;11;4;;;;1;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;Autre(s) type(s) d'accident(s).;1;1;1;2;4;3;2;1;3;4;1;1;1;2;5;3;4;4;4;2;2;2;2;1;2;45;45;0;0;10;2;3;2;2;2;3;0;20;1;1;12;4;;;;3;;accident
1;Vous avez fait une sortie de route, une perte de contrôle ou une glissade puis avez percuté un obstacle fixe (panneau, arbre poteau ).;1;1;2;1;3;3;1;3;3;3;1;1;1;1;3;1;4;4;4;1;2;2;2;1;1;20;50;0;30;0;1;2;1;2;2;AUT|Zone commerciale;0;20;1;1;12;2;;;;AUT|Zone commerciale;;accident
1;Autre(s) type(s) d'accident(s).;0;1;2;2;4;3;1;2;3;4;4;1;1;1;4;1;4;4;4;2;2;2;2;1;1;0;0;100;0;0;2;2;1;2;2;2;0;90;1;1;12;2;;;;2;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;"Vous circuliez sur un axe constitué dau moins "" 2 X 2 voies "" (en urbain, périph, autoroute, RN ). Un véhicule vous a coupé la route en changeant de voie pour se placer sur celle de gauche.";0;0;;;4;1;1;1;3;4;3;1;1;1;1;1;4;4;4;2;2;2;1;1;1;0;100;0;0;0;2;4;1;2;1;3;0;50;1;1;12;4;;;;3;;accident
1;"Vous circuliez sur un axe constitué dau moins "" 2 X 2 voies "" (en urbain, périphérique, autoroute, RN ). Un véhicule vous a coupé la route en changeant de voie pour se placer sur celle de droite.";1;1;2;1;4;3;3;1;4;4;1;1;2;2;4;4;1;4;4;2;2;2;1;3;1;20;80;0;0;0;1;3;1;1;1;3;0;60;1;1;12;4;;;;3;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;Vous avez fait une sortie de route, une perte de contrôle ou une glissade sans rien percuter.;0;1;2;1;4;1;1;1;4;4;1;1;1;1;1;4;4;4;4;2;2;2;1;1;1;10;90;0;0;0;2;2;1;1;1;1;0;45;1;1;12;3;;;;1;;accident
1;Vous circuliez derrière un véhicule. Ce véhicule a freiné ou a ralenti et vous lavez percuté par larrière.;1;0;;;2;3;2;2;3;2;1;1;1;1;2;2;4;4;4;2;2;2;1;1;1;80;20;0;0;0;2;AUT|le flot de véhicule redémarrait;1;1;1;1;0;30;1;1;12;4;;;;1;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;Vous circuliez derrière un véhicule. Ce véhicule a freiné ou a ralenti et vous lavez percuté par larrière.;0;1;2;2;3;3;1;2;2;3;2;1;1;1;1;1;4;4;4;1;2;2;2;1;1;0;0;0;100;0;2;2;4;2;3;2;0;30;0;1;6;4;;;;2;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;Vous circuliez derrière un véhicule. Ce véhicule a freiné ou a ralenti et vous lavez percuté par larrière.;1;0;;;3;2;1;3;2;3;1;1;2;2;3;3;4;4;4;2;2;2;2;1;1;100;0;0;0;0;1;3;1;2;3;2;1;70;1;1;12;3;;;;2;;accident
1;Vous avez fait une sortie de route, une perte de contrôle ou une glissade sans rien percuter.;0;0;;;3;3;1;1;2;3;2;1;1;1;2;4;4;4;4;1;2;2;1;1;2;10;0;0;20;70;1;1;2;1;1;1;0;40;1;1;12;3;;;;1;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;Vous circuliez sur un axe prioritaire. Un véhicule venant dun axe non prioritaire vous a coupé la route.;0;1;1;2;4;3;1;1;1;1;1;1;1;1;1;2;4;4;4;1;2;2;1;1;1;0;100;0;0;0;NSP;3;1;2;1;1;0;45;1;1;NSP;2;;;;1;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;Autre(s) type(s) d'accident(s).;1;1;2;1;2;3;1;NSP;4;4;1;1;1;1;1;5;4;4;4;2;2;2;1;1;1;0;100;0;0;0;1;2;1;2;1;1;0;40;1;1;12;2;;;;1;;accident
1;Autre(s) type(s) d'accident(s).;1;1;2;1;4;3;1;2;4;4;1;1;1;1;1;1;4;4;4;2;2;2;1;1;1;0;100;0;0;0;2;4;1;1;1;3;0;40;0;0;5;3;;;;3;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
3;Autre(s) type(s) d'accident(s).;0;1;2;1;3;3;1;1;3;4;2;1;1;1;1;3;4;4;4;2;2;2;2;1;1;0;100;0;0;0;2;2;1;2;2;1;0;30;1;1;10;3;;;;1;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;Vous circuliez derrière un véhicule. Ce véhicule a freiné ou a ralenti et vous lavez percuté par larrière.;1;1;NSP;1;4;3;3;2;3;3;1;1;1;2;1;4;4;4;4;2;2;2;1;1;1;60;40;0;0;0;2;1;1;2;1;2;0;80;1;1;12;4;;;;2;;accident
1;Vous circuliez derrière un véhicule. Vous avez entrepris de dépasser ce véhicule par la droite et celui-ci vous a coupé la route en tournant à droite.;0;1;2;1;4;3;1;1;3;4;2;1;1;1;1;1;4;4;4;2;2;2;1;1;1;0;100;0;0;0;2;2;1;1;2;1;0;50;1;1;12;4;;;;1;;accident
2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;Autre(s) type(s) d'accident(s).;1;1;2;1;3;3;1;2;2;3;2;1;1;3;1;4;4;4;4;1;2;2;2;1;1;10;90;0;0;0;2;1;1;1;2;2;0;50;1;1;12;2;;;;2;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
2;Vous circuliez sur un axe prioritaire. Un autre véhicule arrivant sur le même axe en sens opposé vous a coupé la route en tournant à gauche.;0;1;2;1;3;3;1;1;3;4;1;1;1;1;3;4;4;4;4;2;2;2;2;1;1;10;90;0;0;0;2;2;1;1;1;1;0;40;1;1;12;3;;;;1;;accident
1;Vous circuliez sur un axe prioritaire. Un autre véhicule arrivant sur le même axe en sens opposé vous a coupé la route en tournant à gauche.;1;1;NSP;2;3;3;1;1;3;4;1;1;1;2;1;4;4;4;4;2;2;2;1;1;1;0;100;0;0;0;1;2;1;2;1;1;0;50;0;1;9;1;;;;1;;accident
1;Vous circuliez derrière un véhicule. Ce véhicule a freiné ou a ralenti et vous lavez percuté par larrière.;1;0;;;4;1;3;3;3;3;2;1;1;3;5;5;5;5;5;2;2;2;1;1;2;50;0;0;0;50;2;2;2;1;1;1;0;60;1;1;12;4;;;;1;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;accident
